Rank,Team,S,Aces,Per Set,Category,Block Solos,Block Assists,TB,W,L,Pct.,Name,Cl,Height,Digs
1,Long Beach St.,78,186,2.38,Men's Volleyball,,,,,,,,,,
2,Merrimack,63,132,2.10,Men's Volleyball,,,,,,,,,,
3,UC Irvine,74,153,2.07,Men's Volleyball,,,,,,,,,,
4,UCLA,76,148,1.95,Men's Volleyball,,,,,,,,,,
5,Maryville (MO),80,152,1.90,Men's Volleyball,,,,,,,,,,
6,Hawaii,90,167,1.86,Men's Volleyball,,,,,,,,,,
7,Loyola Chicago,85,153,1.80,Men's Volleyball,,,,,,,,,,
8,Rockhurst,100,172,1.72,Men's Volleyball,,,,,,,,,,
9,CSUN,88,151,1.72,Men's Volleyball,,,,,,,,,,
10,Pepperdine,78,133,1.71,Men's Volleyball,,,,,,,,,,
11,Ohio St.,92,154,1.67,Men's Volleyball,,,,,,,,,,
12,Fort Valley St.,67,111,1.66,Men's Volleyball,,,,,,,,,,
13,UC San Diego,88,145,1.65,Men's Volleyball,,,,,,,,,,
14,Menlo,74,121,1.64,Men's Volleyball,,,,,,,,,,
15,Saint Francis,79,129,1.63,Men's Volleyball,,,,,,,,,,
16,Daemen,75,120,1.60,Men's Volleyball,,,,,,,,,,
17,Lincoln Memorial,67,107,1.60,Men's Volleyball,,,,,,,,,,
18,Lewis,111,177,1.59,Men's Volleyball,,,,,,,,,,
19,Lindenwood,83,129,1.55,Men's Volleyball,,,,,,,,,,
20,LIU,85,129,1.52,Men's Volleyball,,,,,,,,,,
21,Harvard,68,102,1.50,Men's Volleyball,,,,,,,,,,
22,Edward Waters,73,109,1.49,Men's Volleyball,,,,,,,,,,
23,CUI,93,137,1.47,Men's Volleyball,,,,,,,,,,
24,Mount Olive,69,101,1.46,Men's Volleyball,,,,,,,,,,
25,Vanguard,85,124,1.46,Men's Volleyball,,,,,,,,,,
26,Quincy,99,143,1.44,Men's Volleyball,,,,,,,,,,
27,George Mason,82,118,1.44,Men's Volleyball,,,,,,,,,,
28,Erskine,78,111,1.42,Men's Volleyball,,,,,,,,,,
29,Princeton,73,102,1.40,Men's Volleyball,,,,,,,,,,
30,Purdue Fort Wayne,88,122,1.39,Men's Volleyball,,,,,,,,,,
31,Central St. (OH),76,103,1.36,Men's Volleyball,,,,,,,,,,
32,Roberts Wesleyan,97,131,1.35,Men's Volleyball,,,,,,,,,,
33,BYU,92,124,1.35,Men's Volleyball,,,,,,,,,,
34,Ball St.,110,145,1.32,Men's Volleyball,,,,,,,,,,
35,Catawba,77,101,1.31,Men's Volleyball,,,,,,,,,,
36,Missouri S&T,74,96,1.30,Men's Volleyball,,,,,,,,,,
-,Sacred Heart,74,96,1.30,Men's Volleyball,,,,,,,,,,
38,Stanford,76,97,1.28,Men's Volleyball,,,,,,,,,,
39,Grand Canyon,88,112,1.27,Men's Volleyball,,,,,,,,,,
40,Queens (NC),101,128,1.27,Men's Volleyball,,,,,,,,,,
41,North Greenville,79,100,1.27,Men's Volleyball,,,,,,,,,,
42,Tusculum,91,114,1.25,Men's Volleyball,,,,,,,,,,
43,Thomas More,63,78,1.24,Men's Volleyball,,,,,,,,,,
-,UC Santa Barbara,84,104,1.24,Men's Volleyball,,,,,,,,,,
45,Roosevelt,72,89,1.24,Men's Volleyball,,,,,,,,,,
46,FDU,72,88,1.22,Men's Volleyball,,,,,,,,,,
47,LeMoyne-Owen,50,61,1.22,Men's Volleyball,,,,,,,,,,
48,Penn St.,75,91,1.21,Men's Volleyball,,,,,,,,,,
49,Kentucky St.,20,24,1.20,Men's Volleyball,,,,,,,,,,
50,Dominican (NY),92,108,1.17,Men's Volleyball,,,,,,,,,,
1,Southern California,79,,2.797,Men's Volleyball,28,386,221.0,,,,,,,
2,Long Beach St.,78,,2.692,Men's Volleyball,27,366,210.0,,,,,,,
3,Loyola Chicago,85,,2.600,Men's Volleyball,49,344,221.0,,,,,,,
4,Barry,85,,2.588,Men's Volleyball,31,378,220.0,,,,,,,
5,Princeton,73,,2.527,Men's Volleyball,43,283,184.5,,,,,,,
6,LIU,85,,2.459,Men's Volleyball,39,340,209.0,,,,,,,
7,Penn St.,75,,2.427,Men's Volleyball,40,284,182.0,,,,,,,
8,Belmont Abbey,75,,2.420,Men's Volleyball,53,257,181.5,,,,,,,
9,Lincoln Memorial,67,,2.418,Men's Volleyball,48,228,162.0,,,,,,,
10,Quincy,99,,2.414,Men's Volleyball,97,284,239.0,,,,,,,
11,UCLA,76,,2.408,Men's Volleyball,26,314,183.0,,,,,,,
12,Hawaii,90,,2.394,Men's Volleyball,35,361,215.5,,,,,,,
13,Barton,89,,2.376,Men's Volleyball,74,275,211.5,,,,,,,
14,BYU,92,,2.359,Men's Volleyball,42,350,217.0,,,,,,,
15,CSUN,88,,2.358,Men's Volleyball,41,333,207.5,,,,,,,
16,Ball St.,110,,2.345,Men's Volleyball,51,414,258.0,,,,,,,
17,Benedict,67,,2.343,Men's Volleyball,98,118,157.0,,,,,,,
18,Grand Canyon,88,,2.324,Men's Volleyball,40,329,204.5,,,,,,,
19,St. Thomas Aquinas,75,,2.280,Men's Volleyball,45,252,171.0,,,,,,,
20,UC Irvine,74,,2.264,Men's Volleyball,38,259,167.5,,,,,,,
21,Mount Olive,69,,2.239,Men's Volleyball,41,227,154.5,,,,,,,
22,George Mason,82,,2.213,Men's Volleyball,83,197,181.5,,,,,,,
23,Lewis,111,,2.212,Men's Volleyball,40,411,245.5,,,,,,,
24,Thomas More,63,,2.151,Men's Volleyball,65,141,135.5,,,,,,,
25,CUI,93,,2.134,Men's Volleyball,58,281,198.5,,,,,,,
26,Harvard,68,,2.132,Men's Volleyball,41,208,145.0,,,,,,,
27,UC San Diego,88,,2.119,Men's Volleyball,27,319,186.5,,,,,,,
28,Daemen,75,,2.107,Men's Volleyball,59,198,158.0,,,,,,,
29,Purdue Fort Wayne,88,,2.091,Men's Volleyball,53,262,184.0,,,,,,,
30,Queens (NC),101,,2.084,Men's Volleyball,68,285,210.5,,,,,,,
31,Missouri S&T,74,,2.047,Men's Volleyball,53,197,151.5,,,,,,,
32,Erskine,78,,2.032,Men's Volleyball,42,233,158.5,,,,,,,
33,McKendree,97,,2.031,Men's Volleyball,36,322,197.0,,,,,,,
34,Maryville (MO),80,,1.994,Men's Volleyball,47,225,159.5,,,,,,,
35,Stanford,76,,1.980,Men's Volleyball,20,261,150.5,,,,,,,
36,Pepperdine,78,,1.974,Men's Volleyball,26,256,154.0,,,,,,,
37,D'Youville,69,,1.964,Men's Volleyball,54,163,135.5,,,,,,,
38,NJIT,80,,1.944,Men's Volleyball,36,239,155.5,,,,,,,
39,Sacred Heart,74,,1.939,Men's Volleyball,38,211,143.5,,,,,,,
40,Central St. (OH),76,,1.921,Men's Volleyball,41,210,146.0,,,,,,,
41,Menlo,74,,1.919,Men's Volleyball,39,206,142.0,,,,,,,
