Rank,Team,S,Aces,Per Set
1,Long Beach St.,78,186,2.38
2,Merrimack,63,132,2.10
3,UC Irvine,74,153,2.07
4,UCLA,76,148,1.95
5,Maryville (MO),80,152,1.90
6,Hawaii,90,167,1.86
7,Loyola Chicago,85,153,1.80
8,Rockhurst,100,172,1.72
9,CSUN,88,151,1.72
10,Pepperdine,78,133,1.71
11,Ohio St.,92,154,1.67
12,Fort Valley St.,67,111,1.66
13,UC San Diego,88,145,1.65
14,Menlo,74,121,1.64
15,Saint Francis,79,129,1.63
16,Daemen,75,120,1.60
17,Lincoln Memorial,67,107,1.60
18,Lewis,111,177,1.59
19,Lindenwood,83,129,1.55
20,LIU,85,129,1.52
21,Harvard,68,102,1.50
22,Edward Waters,73,109,1.49
23,CUI,93,137,1.47
24,Mount Olive,69,101,1.46
25,Vanguard,85,124,1.46
26,Quincy,99,143,1.44
27,George Mason,82,118,1.44
28,Erskine,78,111,1.42
29,Princeton,73,102,1.40
30,Purdue Fort Wayne,88,122,1.39
31,Central St. (OH),76,103,1.36
32,Roberts Wesleyan,97,131,1.35
33,BYU,92,124,1.35
34,Ball St.,110,145,1.32
35,Catawba,77,101,1.31
36,Missouri S&T,74,96,1.30
-,Sacred Heart,74,96,1.30
38,Stanford,76,97,1.28
39,Grand Canyon,88,112,1.27
40,Queens (NC),101,128,1.27
41,North Greenville,79,100,1.27
42,Tusculum,91,114,1.25
43,Thomas More,63,78,1.24
-,UC Santa Barbara,84,104,1.24
45,Roosevelt,72,89,1.24
46,FDU,72,88,1.22
47,LeMoyne-Owen,50,61,1.22
48,Penn St.,75,91,1.21
49,Kentucky St.,20,24,1.20
50,Dominican (NY),92,108,1.17
