Rank,Team,S,Assists,Per Set
1,Southern California,79,995,12.59
2,Hawaii,90,1131,12.57
3,Loyola Chicago,85,1042,12.26
4,Charleston (WV),91,1106,12.15
5,Pepperdine,78,944,12.10
6,Long Beach St.,78,942,12.08
7,McKendree,97,1157,11.93
8,Lindenwood,83,981,11.82
9,Mount Olive,69,811,11.75
10,Rockhurst,100,1173,11.73
11,Ohio St.,92,1076,11.70
12,UC Irvine,74,865,11.69
13,LIU,85,991,11.66
14,North Greenville,79,916,11.59
15,UCLA,76,877,11.54
16,Ball St.,110,1268,11.53
17,UC San Diego,88,1010,11.48
18,UC Santa Barbara,84,961,11.44
19,Lewis,111,1259,11.34
20,Saint Francis,79,895,11.33
21,Stanford,76,854,11.24
22,Maryville (MO),80,898,11.22
23,BYU,92,1031,11.21
24,Catawba,77,861,11.18
25,CSUN,88,983,11.17
26,Merrimack,63,702,11.14
27,Belmont Abbey,75,835,11.13
28,Lincoln Memorial,67,745,11.12
29,Purdue Fort Wayne,88,968,11.00
30,NJIT,80,878,10.98
31,Erskine,78,855,10.96
32,Quincy,99,1078,10.89
33,Menlo,74,796,10.76
34,Grand Canyon,88,946,10.75
35,Princeton,73,784,10.74
36,Daemen,75,797,10.63
37,George Mason,82,869,10.60
38,Missouri S&T,74,781,10.55
39,St. Thomas Aquinas,75,785,10.47
40,Queens (NC),101,1056,10.46
41,Tusculum,91,948,10.42
42,Penn St.,75,779,10.39
43,CUI,93,954,10.26
44,FDU,72,732,10.17
45,Roosevelt,72,729,10.12
46,Edward Waters,73,737,10.10
47,Vanguard,85,857,10.08
48,Barton,89,893,10.03
49,Thomas More,63,631,10.02
50,Roberts Wesleyan,97,970,10.00
