Rank,Team,S,Block Solos,Block Assists,TB,Per Set
1,Southern California,79,28,386,221.0,2.797
2,Long Beach St.,78,27,366,210.0,2.692
3,Loyola Chicago,85,49,344,221.0,2.600
4,Barry,85,31,378,220.0,2.588
5,Princeton,73,43,283,184.5,2.527
6,LIU,85,39,340,209.0,2.459
7,Penn St.,75,40,284,182.0,2.427
8,Belmont Abbey,75,53,257,181.5,2.420
9,Lincoln Memorial,67,48,228,162.0,2.418
10,Quincy,99,97,284,239.0,2.414
11,UCLA,76,26,314,183.0,2.408
12,Hawaii,90,35,361,215.5,2.394
13,Barton,89,74,275,211.5,2.376
14,BYU,92,42,350,217.0,2.359
15,CSUN,88,41,333,207.5,2.358
16,Ball St.,110,51,414,258.0,2.345
17,Benedict,67,98,118,157.0,2.343
18,Grand Canyon,88,40,329,204.5,2.324
19,St. Thomas Aquinas,75,45,252,171.0,2.280
20,UC Irvine,74,38,259,167.5,2.264
21,Mount Olive,69,41,227,154.5,2.239
22,George Mason,82,83,197,181.5,2.213
23,Lewis,111,40,411,245.5,2.212
24,Thomas More,63,65,141,135.5,2.151
25,CUI,93,58,281,198.5,2.134
26,Harvard,68,41,208,145.0,2.132
27,UC San Diego,88,27,319,186.5,2.119
28,Daemen,75,59,198,158.0,2.107
29,Purdue Fort Wayne,88,53,262,184.0,2.091
30,Queens (NC),101,68,285,210.5,2.084
31,Missouri S&T,74,53,197,151.5,2.047
32,Erskine,78,42,233,158.5,2.032
33,McKendree,97,36,322,197.0,2.031
34,Maryville (MO),80,47,225,159.5,1.994
35,Stanford,76,20,261,150.5,1.980
36,Pepperdine,78,26,256,154.0,1.974
37,D'Youville,69,54,163,135.5,1.964
38,NJIT,80,36,239,155.5,1.944
39,Sacred Heart,74,38,211,143.5,1.939
40,Central St. (OH),76,41,210,146.0,1.921
41,Menlo,74,39,206,142.0,1.919
42,FDU,72,44,187,137.5,1.910
43,Catawba,77,33,228,147.0,1.909
44,Tusculum,91,72,199,171.5,1.885
45,Rockhurst,100,78,213,184.5,1.845
46,Dominican (NY),92,47,244,169.0,1.837
47,Merrimack,63,20,191,115.5,1.833
48,UC Santa Barbara,84,25,254,152.0,1.810
49,Fort Valley St.,67,31,178,120.0,1.791
50,Saint Francis,79,23,235,140.5,1.778
